PARENT_ORG_CODE,CHILD_ORG_CODE
"PERS","SENR"
"ISER","MISD"
"DSTS","ADSI"
"PERS","LCLB"
"INTL","OSLO"
"SOFM","PRIN"
"BPUR","STAT"
"FMED","MEDF"
"DCMM","INFO"
"FSCI","PSYC"
"VESC","VGEN"
"ORDS","OMED"
"PHYS","IFAC"
"DARG","EXAM"
"FSCI","GEOG"
"FSCI","GELY"
"RESS","MANO"
"CAOP","MARK"
"HUMS","ENGL"
"DEVO","ALUM"
"CARA","STED"
"VICH","HFLO"
"READ","FACL"
"SECO","SEAD"
"FSSL","SPOL"
"FMED","EPID"
"INTL","EURO"
"INTL","OWEL"
"MECH","AMAR"
"STHS","WINK"
"STHS","HAMP"
"REGI","SECR"
"SOAD","SOLS"
"ISYS","TELE"
"SUPT","REPR"
"COCA","CONF"
"MECH","GRIN"
"CAOP","LACT"
"SAUS","CRAG"
"SPOL","SAUS"
"CHEM","PTCH"
"DHBG","PSPH"
"MEDI","CELD"
"DEST","SITG"
"SECO","SENQ"
"FMED","ANHU"
"FMVS","BIOC"
"SCIF","AGSC"
"ACHS","DEAF"
"BUAR","BESM"
"EPID","GPTU"
"RESS","GOLD"
"QUEN","AERO"
"DEST","BPUR"
"DEST","BCOS"
"EDUC","NDRC"
"CHEM","ORCH"
"ACCO","OSEA"
"SITE","LAHO"
"VESC","FARM"
"EPID","HCAR"
"RESS","HBAK"
"SITE","HOUS"
"MUSI","CONC"
"ISER","COMP"
"NBCS","MEDI"
"FOAT","MODL"
"CMCC","CLIN"
"FSOC","SOCF"
"FMED","VSUR"
"NBCS","MDPG"
"REGI","INLO"
"BIOC","MORE"
"MODL","RUSS"
"SCIF","ZOOL"
"ORDS","MAXF"
"BURS","PROP"
"ORDS","DPRO"
"PHPH","PHAR"
"DRAA","INTL"
"MVEN","EENG"
"MVEN","EMAT"
"CMCC","RADI"
"CHSE","ANAT"
"BFAC","BOTG"
"DEST","BCAP"
"ZOOL","CARU"
"SPOL","SOAD"
"FSSL","SOCI"
"DARG","SFIN"
"DSTS","STHE"
"PERS","JSOC"
"MODL","ITAL"
"CSSB","LARY"
"FSSL","LAWD"
"CMCC","SURG"
"SOFM","SECU"
"SART","PHIL"
"GELY","BIGC"
"CHEM","EACH"
"FSCI","CHEM"
"ISER","LIBR"
"FOAT","ARTF"
"COCA","CATC"
"CAOP","HAWT"
"FMED","ETOX"
"QUEN","CIVE"
"CSSB","ONCO"
"CHEM","INCH"
"MVEN","COSC"
"ORDS","COND"
"BESM","BMEC"
"BESM","BELE"
"SAUS","RODN"
"CMCC","MDIL"
"SSCM","SMED"
"DRAM","THEA"
"ENGF","EFMG"
"DRAM","FMTV"
"SFIN","LOAN"
"MVSF","MSDG"
"READ","PLAN"
"SPOL","WELC"
"DARG","READ"
"CSSB","OBST"
"DPER","SAFE"
"MEED","DCLF"
"MEED","DCLI"
"FMDY","VESC"
"BIOC","MOGT"
"EPID","CANE"
"FMVS","PANM"
"FSSL","POLI"
"SART","DRAM"
"MODL","FREN"
"MODL","GERM"
"HUMS","THRS"
"CATC","SHCT"
"CATC","REFE"
"HIST","ECSH"
"COMP","AUCC"
"ISER","ILRT"
"FMED","HOSP"
"SRES","SINC"
"ECON","ACCT"
"SOAD","DTON"
"EENG","CERC"
"CAOP","COCA"
"RESS","SRES"
"DSTS","STUS"
"FSOC","MBAI"
"FMED","PATH"
"EDUC","PREU"
"CSSB","OPTH"
"DSEC","SECO"
"COCA","HKLA"
"ORDS","MRCD"
"VICH","UBVO"
"CIVE","SSRC"
"VESC","VCAD"
"SCIF","REMS"
"COCA","GATE"
"STUS","STDU"
"MVSF","DPCM"
"MVSF","DPCV"
"READ","CECA"
"DRES","OPPO"
"REGI","RDEV"
"ORED","IPMU"
"GEOG","HGEO"
"EFIM","CMPO"
"OPPO","OCNW"
"SOCI","CITI"
"DISR","ISER"
"DCMM","DCOM"
"DPER","UNPA"
"ORED","UBEC"
"ARTF","MARH"
"PERS","SDEV"
"DACA","TLSU"
"RESS","WILL"
"HUMS","HIST"
"CMCC","URCN"
"DEST","BURS"
"DRES","ORED"
"ORED","RVGP"
"ISER","CSER"
"ISER","PSER"
"DLIB","IMAN"
"DITS","ISYS"
"SITE","PORT"
"SECU","TWIG"
"ONCO","MEPH"
"EFIM","MGRC"
"ISYS","JISC"
"DCAM","DEVO"
"SSLF","DISA"
"FMDY","ORDS"
"CSSB","IVFS"
"CSSB","RHEU"
"SURN","ORTH"
"ATHF","DING"
"FLAW","LAWF"
"FSSL","EDUC"
"PROP","SUPT"
"SDEV","TTRS"
"SCIF","BOTA"
"REMV","VPUB"
"CIVE","EERC"
"MICB","MOLE"
"RESS","DURD"
"DRAA","ADMO"
"DFIN","FINC"
"COBM","MENH"
"FSCI","MATH"
"COCA","VICR"
"MEDI","MDSM"
"FSOC","CCSS"
"INST","IAST"
"VESC","DFAS"
"COBM","PRIM"
"SPOL","PORE"
"ARTF","FACE"
"DPER","COUN"
"ESOP","BBUD"
"DSPP","DPPP"
"READ","SINS"
"REGI","DACA"
"VESC","VPIM"
"SART","ARCH"
"TRAN","TSRC"
"LANG","LLAB"
"ARTF","EMBS"
"COSC","ACRC"
"DSEH","ATHF"
"SOWK","ECHI"
"FMED","VMED"
"MODL","HILA"
"MEDI","TRAN"
"EDUC","EDTS"
"FMED","MICB"
"RESS","BADO"
"FLAW","PLEG"
"DICE","COED"
"HUMS","CLAS"
"DRAM","THCO"
"PHPH","PYSI"
"FSCI","BISC"
"SURG","CREF"
"MDYF","CMCC"
"DSTS","CHAP"
"MVSF","DPCD"
"SCIF","CEGF"
"ESOP","BBUL"
"POLI","GORC"
"SSLF","CACS"
"SMED","ALSP"
"SITG","FENW"
"FMVS","MVSF"
"FSSL","SSLF"
"DARG","SSIN"
"SSLF","ANTH"
"SOCS","CSSB"
"SOCS","NBCS"
"SSCM","COBM"
"CSSB","SURS"
"COBM","CHHC"
"COBM","CMDC"
"FMDY","MEED"
"CSSB","DHBG"
"ISER","LTSS"
"CSSB","CHDS"
"MVSF","SOMS"
"SOFM","SITE"
"SITG","FEGL"
"MVSF","LACU"
"FSSL","EFIM"
"EFIM","ACFI"
"FSSL","ACHS"
"ACHS","AUDI"
"RESS","STHS"
"LAWD","ELAW"
"SUPP","REGI"
"DSTS","STCS"
"RESS","UNHA"
"PROM","STAC"
"DARG","UNIO"
"ADMO","STAB"
"CMCC","CHHT"
"SUPP","DICE"
"SRES","REST"
"ARTF","BIRH"
"DRAA","WIDE"
"SURS","RADS"
"SURS","GAST"
"HIST","CSCP"
"DSPP","IPSS"
"CASU","ASUB"
"CASU","PASU"
"CASU","LASU"
"CSSB","RFLS"
"CSSB","TORC"
"CHEM","BCCE"
"EFIM","ECON"
"DEST","UTIL"
"VESC","LCVS"
"SART","MUSI"
"SECO","CONV"
"CASU","BRNU"
"PASU","STWL"
"PASU","DHSU"
"FOAT","SART"
"FOAT","HUMS"
"DARG","STAD"
"VESC","AHAH"
"FSOC","HEAG"
"FMVS","MSAD"
"QUEN","MECH"
"DARG","EDSU"
"BURS","BUES"
"HAFM","BUAR"
"DEST","PROM"
"RESS","ACCO"
"HAFM","BBUI"
"DCMM","REMV"
"DPER","PERS"
"DCOM","AFPU"
"SPOL","NORA"
"FENG","ENGF"
"SPOL","SOWK"
"POLI","CEME"
"CMCC","ANAE"
"MVSF","CMED"
"DPER","RNUT"
"SCIF","CFBB"
"SOFM","BFAC"
"ORDS","DCLD"
"VESC","MACB"
"FSCI","NSQI"
"PROM","AVIA"
"FMDY","MDYF"
"CAOP","BURW"
"ISER","ISCA"
"ARTF","GSAH"
"VESC","TSET"
"PROM","BPRO"
"FSSL","POLP"
"UNIV","SUPP"
"ACAD","FENG"
"ACAD","FOAT"
"ACAD","FMVS"
"ACAD","FMDY"
"ACAD","FSSL"
"CORP","CASU"
"CORP","CCOR"
"UNIV","ACAD"
"UNIV","CORP"
"SUPP","DCAM"
"SUPP","DFIN"
"SUPP","DPER"
"SUPP","DRES"
"SUPP","DSEC"
"SUPP","DARG"
"SUPP","DEDU"
"SUPP","DSEH"
"SUPP","DRCO"
"SUPP","DSTM"
"DEST","ESOP"
"DRAA","SRAA"
"DARG","STSS"
"ACAD","FLAW"
"DCAM","CAMP"
"PROM","CPRO"
"PROM","HPRO"
"ACAD","FSOC"
"ACAD","FMED"
"SUPP","DEST"
"SUPP","DISR"
"SUPP","DCMM"
"DRCO","CAOP"
"CCOR","CINC"
"ACAD","FSCI"
"ASUB","BSSS"
"ENGF","FRPE"
"MEED","DCLS"
"MECH","EMRC"
"COBM","ETHM"
"SPOL","PHED"
"NBCS","SURN"
"FSSL","CEAS"
"HUMS","HART"
"FSSL","SPAI"
"CORP","NCCC"
"FENG","QUEN"
"FENG","MVEN"
"FMDY","SSCM"
"FMDY","SOCS"
"ANAT","OSCR"
"FENG","GSEN"
"ORDS","CHDH"
"FSCI","SCIF"
"FSCI","PHYS"
"RESS","CHUR"
"DARG","FSTA"
"DRAA","PGAD"
"ACHS","CPPD"
"FOAT","LANG"
"SUPP","DRAA"
"SUPP","DSTS"
"SUPP","DITS"
"SUPP","DLIB"
"DRCO","RESS"
"REMV","MAKP"
"DSTS","CARA"
"ORDS","DLPG"
"GEOG","PGEO"
"ISCA","PASP"
"DSPP","REGP"
"DSTM","VICH"
"GEOG","GLAC"
"CSSB","CARS"
"RESS","CHHS"
"READ","DOLP"
"FMVS","PHPH"
"RESS","HIAT"
"SUPP","DSPP"
"DARG","AQPO"
"DARG","BRDC"
"DARG","ITEL"
"DARG","TIME"
"DARG","VCAT"
"DEST","HAFM"
"DEST","SOFM"
"FMDY","CHSE"
"CHSE","TLHP"
"PERS","TSSP"
"DRAA","CRSM"
"FOAT","INOV"
"DSPP","CHAN"
"ARTF","THCL"
"SART","FATV"
"SART","THTR"
"ACAD","INST"
"INST","EBIN"
"INST","BRIG"
"INST","JGIN"
"INST","CABI"
